SN,Category,Link,Total Recipes
0, Appetizers and Snacks ,https://www.allrecipes.com/recipes/76/appetizers-and-snacks/,37
1, BBQ &amp; Grilling ,https://www.allrecipes.com/recipes/88/bbq-grilling/,17
2, Bread Recipes ,https://www.allrecipes.com/recipes/156/bread/,24
3, Breakfast and Brunch ,https://www.allrecipes.com/recipes/78/breakfast-and-brunch/,20
4, Desserts ,https://www.allrecipes.com/recipes/79/desserts/,16
5, Dinner Recipes ,https://www.allrecipes.com/recipes/17562/dinner/,14
6, Everyday Cooking ,https://www.allrecipes.com/recipes/1642/everyday-cooking/,30
7, Holidays and Events ,https://www.allrecipes.com/recipes/85/holidays-and-events/,30
8, Ingredients ,https://www.allrecipes.com/recipes/17567/ingredients/,22
9, Lunch Recipes ,https://www.allrecipes.com/recipes/17561/lunch/,8
10, Main Dishes ,https://www.allrecipes.com/recipes/80/main-dish/,55
11, Meat and Poultry ,https://www.allrecipes.com/recipes/92/meat-and-poultry/,9
12, Pasta and Noodles ,https://www.allrecipes.com/recipes/95/pasta-and-noodles/,8
13, Salad Recipes ,https://www.allrecipes.com/recipes/96/salad/,25
14, Seafood Recipes ,https://www.allrecipes.com/recipes/93/seafood/,9
15, Side Dishes ,https://www.allrecipes.com/recipes/81/side-dish/,21
16," Soups, Stews and Chili ",https://www.allrecipes.com/recipes/94/soups-stews-and-chili/,9
17, U.S. Recipes ,https://www.allrecipes.com/recipes/236/us-recipes/,8
18, World Cuisine ,https://www.allrecipes.com/recipes/86/world-cuisine/,17
